Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
A Gold Star for Zog,,,,Julia Donaldson,"Donaldson, Julia",,,,Scholastic,,2012,Juvenile Fiction,,,"The ultimate back-to-school quest from bestsellers Donaldson and Scheffler  What do dragons learn at Madam Dragon's school? How to fly. . . How to roar. . . How to breathe fire!  Zog is the most eager student in the class, but he's also the most accident-prone. With each test (and each bump, bruise, or scrape), his dream of earning a gold star seems further away than ever.  But a mysterious girl keeps coming to his rescue. And when Zog faces his toughest test yet, she may be just the person to help Zog win classroom glory!  The beloved creators of ROOM ON THE BROOM, THE GRUFFALO, and STICK MAN are back with this tale of an unexpected hero who's good as gold.",,,,,,,,32,,,,,English,,,,9780545417242,0,0,,Unread,,,,,,,0,,,,2018/04/17 07:53:37.693979024,,,,,,XKgpngEACAAJ,,0,,
America the Beautiful,,,,Katharine Lee Bates,"Bates, Katharine Lee",,,,Putnam,,2003,Accessible book,,,"An illustrated edition of the nineteenth-century poem, later set to music, celebrating the beauty of America.",,,,,,,,48,,,,,English,,,,9780399238857,0,0,,Unread,,,,,,,0,,,,2018/04/19 14:21:18.828080058,,,,,,xcIqtAEACAAJ,,0,,
Bee,A Peek-through Picture Book,,,"Patricia Hegarty, Britta Teckentrup","Hegarty, Patricia",,,,Doubleday Books for Young Readers,,2017,Juvenile Fiction,,,"Fans of Tree: A Peek-Through Picture Book can now fly along with Bee on her very busy day!   Through a hole in the book's cover, a bee is buzzing inside a flower. Peek into this bright and lively book and discover the big ways this little insect contributes to the beauty of the environment, from pollinating colorful flowers to buzzing about the bright and beautiful meadow.   With clever peekaboo holes throughout, each page reveals new flowers and plants, plus a look inside a beehive as the bees work together to help a plants grow.   Children will love seeing the details of a bee's active day as each page is turned, and along the way they'll learn about ways in which bees and plants works together to produce a healthy, beautiful environment.  And look for its companion books, Tree and The Twelve Days of Christmas, in the same Peek-Through Picture Book series!  ""Ample opportunities can be found to linger over the vibrant multimedia collages of meadows, woods, hedgerows, streams, and, most of all, the flowers bursting from the pages. An inviting introduction to the busy lives of honeybees.""--Booklist",,,,,,,,32,,,,,English,,,,9781524715267,0,0,,Unread,,,,,,,0,,,,2018/04/17 19:48:02.784589052,,,,,,ngfsjwEACAAJ,,0,,
Black Cat & White Cat,,,,Claire Garralon,"Garralon, Claire",,,,Sourcebooks,2016/06/01,2016,Juvenile Fiction,,,"Can black cat and white cat find a way to play together? Find out in this clever black-and-white board book!Black cat and white cat are friends. But in a world of black and white, someone is always hard to see! Can they find a way to play together without someone disappearing? In the face of adversity, friendship prevails and black cat and white cat set off to find a place where they can play happily together.",,,,,,,,30,,,,,English,,,,9781492637813,0,0,,Unread,,,,,,,0,,,,2018/04/03 14:32:14.677698016,,,,,,XcWKjgEACAAJ,,0,,
Bringing the Outside in,,,,Mary McKenna Siddals,"Siddals, Mary McKenna",,,,Random House,,2016,Juvenile Fiction,,,"A rollicking book that reminds young readers to go outside and play!   ""We're bringing the outside in, oh, bringing the outside in. . . .""   Nothing takes the place of splashing in a puddle or jumping into a pile of autumn leaves. Along with the mud and sand that gets tracked indoors come memories that live forever! Mary McKenna Siddals has written a joyous anthem that encourages children to play in the dirt. It will surely resonate with today's overscheduled as well as sedentary kids, and their parents.",,,,,,,,32,,,,,English,,,,9780449814307,0,0,,Unread,,,,,,,0,,,,2018/04/19 13:25:38.951779007,,,,,,6KDZCwAAQBAJ,,0,,
Cat in the Bag,,,,Sara Swan Miller,"Miller, Sara Swan",,,,Children's Press,,2001,Juvenile Fiction,,,This series meets the following Reading First initiatives: - Phonics- Vocabulary- Comprehension- Fluency,,,,,,,,31,,,,,English,,,,9780516220147,0,0,,Unread,,,,,,,0,,,,2018/03/26 10:19:49.123003005,,,,,,CBSdBjUnDmAC,,0,,
Chameleons are Cool,,,,Martin Jenkins,"Jenkins, Martin",,,,Candlewick Press,,1998,Juvenile Nonfiction,,,"Who can resist a pocket-sized, bad-tempered, color-changing, swivel-eyed, snail-paced, long-tongued sharpshooter? Kids won't be able to after reading Martin Jenkins's amazing portrait of chameleons. With the eye of a scientist and the enthusiasm of a child, Martin Jenkins reveals the very cool facts about chameleons' life and anatomy. Did you know, for example, that most of a chameleon's eye is covered in skin, like the rest of its body? It sees through a tiny peephole in the middle! Sue Shields's vivid watercolor close-ups bring a chameleon's unique features into startling focus.",,,,,,,,29,,,,,English,,,,9780763601447,0,0,,Unread,,,,,,,0,,,,2018/04/19 13:25:38.980231046,,,,,,xZHZAAAAMAAJ,,0,,
Every Child Ready to Read Book Bag Kit #11,,,,Ezra Jack Keats,"Keats, Ezra Jack",,,,Tuzzy Consortium Library.,,1962,Fiction,,,"No book has captured the magic and sense of possibility of the first snowfall better than The Snowy Day.  Universal in its appeal, the story has become a favorite of millions, as it reveals a child's wonder at a new world, and the hope of capturing and keeping that wonder forever. Images and image descriptions available.",,,,,,,,32,,,,,English,,,,9780670654000,0,0,,Unread,,,,,,,0,,,,2018/03/29 14:36:59.729202985,,,,,,INkzswEACAAJ,,0,,
Forest,,,,"Deborah Lock, Lorrie Mack","Lock, Deborah",,,,DK Pub.,2003/09/19,2003,Juvenile Nonfiction,,,"Offering a new level of information through powerful visuals, the Eye Wonder reference series was specially developed for children ready for first books about the natural world. Full-color photography is matched with clearly written text to build a foundation for advanced exploration, helping show children a stunning view of the world. Where Eyewitness books target an older age group, the Eye Wonder series is packed with age-appropriate text and pictures that help younger children learn. Eye Wonder Forest goes deep into the woods to reveal the animal and plant life found within, and Eye Wonder Rocks and Minerals introduces geologic elements to budding scientists.",,,,,,,,48,,,,,English,,,,9780789497598,0,0,,Unread,,,,,,,0,,,,2018/04/19 13:17:59.639008998,,,,,,6x1KUvS4mDMC,,0,,
Frog and Toad Together,,,,Arnold Lobel,"Lobel, Arnold",,,,Harper Collins,1979/10/03,1979,Juvenile Fiction,,,"Best Friends Frog and Toad are always together. Here are five wonderful stories about flowers, cookies, bravery, dreams, and, most of all, friendship.",,,,,,,,64,,,,,English,,,,9780064440219,0,0,,Unread,,,,,,,0,,,,2018/03/26 10:20:17.259349942,,,,,,sRjry-VDvioC,,0,,
