Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
"3, 2, 1, Liftoff!",,,,,Sonia Sander,"Sander, Sonia",,,,,Scholastic Inc.,,2011,,Juvenile Fiction,"Build your LEGO library!Lego City goes into Space! This new reader ties in with one of Lego's major toy themes for Fall 2011, which is sure to be a hit with Lego fans.",,,,,,,31,,,,,English,,,,9780545331678,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.597957968,,,,,,tcaGOWqgKt0C,,0,,
365 Penguins,,,,,Jean-Luc Fromental,"Fromental, Jean-Luc",,,,,Harry N. Abrams,2006/10/01,2006,,Juvenile Fiction,"On the first day of the new year, the mailman brings a surprise—a penguin! One by one, day by day, penguins fill the house. At first they are cute, but with every passing day, the penguins pile up—along with the family's problems. Feeding, cleaning, and housing the penguins becomes a monumental task! But who is sending these penguins, and why?In a large format, and with lots of opportunity for counting, 365 Penguins is sure to become a wintertime staple. On the first day of the new year, the mailman brings a surprise—a penguin! One by one, day by day, penguins fill the house. At first they are cute, but with every passing day, the penguins pile up—along with the family's problems. Feeding, cleaning, and housing the penguins becomes a monumental task! But who is sending these penguins, and why?In a large format, and with lots of opportunity for counting, 365 Penguins is sure to become a wintertime staple.",,,,,,,48,,,,,English,,,,9780810944602,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.211336016,,,,,,raxzQgAACAAJ,,0,,
A Fairy Ballet,,,,,Daisy Meadows,"Meadows, Daisy",,,,,Scholastic Inc.,,2011,,Juvenile Fiction,"Fairyland's Fairy Godmother is putting together a show for the king and queen, and she's asked the Weather Fairies to perform. The fairy sisters work very hard and decide to put on a ballet celebrating the changing seasons and weather. Crystal is nervous to perform in front of a crowd, but with some reassurance from her sisters, she shines onstage. All their hard work pays off, and they get a standing ovation! Bravo!",,,,,,,32,,,,,English,,,,9780545222945,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.187677979,,,,,,W6iv_08v3WIC,,0,,
Bad Kitty,,,,,Nick Bruel,"Bruel, Nick",,,,,Macmillan,2005/10/01,2005,,Juvenile Fiction,"From the creator of The New York Times bestseller Boing! comes the riotous story of a cat gone berserk -- four times over an in alphabetical order each time. Kitty is not happy hen she's told that her favorite foods are all gone and all that's left are Asparagus, Beets, Cauliflower, Dill...and 22 other equally unappealing vegetables. So she: Ate my homework, Bit grandma, Clawed the curtains, Damaged the dishes, and so on, through Z. Only when tastier things arrive (An Assortment of Anchovies, Buffalo Burritos, Chicken Cheesecake...) does she Apologize to Grandma.",,,,,,,40,,,,,English,,,,9781596430693,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.501361012,,,,,,SJ8SzKtFbdYC,,0,,
Butterfly Tree,,,,,Sandra Markle,"Markle, Sandra",,,,,Peachtree,,2011,,Juvenile Fiction,"The mystery of monarch butterfly migration is revealed in this sensitive, eloquent mother-daughter story.One late afternoon in early September, Jilly sees something. It looks like it's raining black pepper from a clear blue sky. Then the black rain becomes a wispy mist. And then a shimmering orange cloud. What can it be? Jilly and Mom set out to identify the mysterious orange cloud. The closer they get, the more curious Jilly gets. Gradually, the hidden world of nature opens to mother and daughter.This imaginative description of monarch butterfly migration from author Sandra Markle reminds us that a loving parent can empower a child to discover the mysteries of the natural world--and to enjoy that discovery again and again.",,,,,,,32,,,,,English,,,,9781561455393,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.133352994,,,,,,oSJXQwAACAAJ,,0,,
Countdown to Kindergarten,,,,,Alison McGhee,"McGhee, Alison",,,,,Voyager Books,2006/07/01,2006,,Fear in fiction,,,,,,,,32,,,,,,,,,9780152055868,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.510781049,,,,,,,,0,https://covers.openlibrary.org/b/id/1120484-L.jpg,
Firefighter Duckies!,,,,,Frank W. Dormer,"Dormer, Frank W.",,,,,Atheneum Books for Young Readers,2017/05/30,2017,,Juvenile Fiction,"WEE-OOO-WEE-OOO-WEE-OOO! Here come the Firefighter Duckies! Frank Dormer is at it again with this quack-out-loud silly story, full of wacky charm and perfect for little duckies of all dispositions.The Firefighter Duckies are brave and strong. They rescue: Gorillas in chef hats! Whales in trees! Dinosaurs on bicycles! But when the emergencies requiring their attention become a little overwhelming, the Firefighter Duckies realize that they don’t have to be brave and strong to be helpful and kind.",,,,,,,40,,,,,English,,,,9781481460903,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.173877954,,,,,,NDPLjwEACAAJ,,0,,
For the Love of Soccer!,,,,,Pelé,Pelé,,,,,Disney-Hyperion,2010/05/25,2010,,Juvenile Nonfiction,"What does the world’s greatest soccer player love about the game? The same things as we do! Speed, team work, dribbling, passing, taking your best shot—and making a G-O-O-A-A-A-L! Pelé, three-time World Cup champion, has been the subject of several unauthorized biographies. But here, in his own words, he celebrates the kick and thrill of his favorite sport. Artist Frank Morrison scores an amazing assist with two dynamic visual stories: Pelé’s inspiring rise to fame, and a young athlete’s efforts to follow in his hero’s speedy footsteps. Together, words and pictures deliver all the fun and excitement of a closely-matched game. World Cup fans, come play!",,,,,,,32,,,,,English,,,,9781423115380,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.117887020,,,,,,0446PwAACAAJ,,0,,
Goldilocks and the Three Bears,,,,,James Marshall,"Marshall, James",,,,,Puffin Books,,1988,,Juvenile Fiction,"?What a sweet child,? says a newcomer in town about Goldilocks. ?That?s what you think,? a neighbor replies. For Goldilocks is one of those naughty little girls who does exactly as she pleases?even if that means sampling the three bears? porridge, breaking Baby Bear?s chair, and sleeping in his bed. James Marshall?s offbeat and inventive telling of this familiar tale will enchant readers, young and old. ?A delightfully irreverent retelling of an old favorite is illustrated with delicious humor and contemporary touches.? ? Booklist, starred review",,,,,,,32,,,,,English,,,,9780140563665,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:44:16.975442051,,,,,,NECKSwkp6JoC,,0,,
I Want To Be A Soldier,,,,,Daniel Liebman,"Liebman, Daniel",,,,,Firefly Books,,2012,,Juvenile literature,,,,,,,,,,,,,,,,,9781770850354,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.167137026,,,,,,,,0,http://images.amazon.com/images/P/177085035X.01Z.jpg,
