Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL
And Then Comes Summer,,,,Tom Brenner,"Brenner, Tom",,,,Candlewick Press,2017/05/01,2017,Juvenile Fiction,,,"A joyful, sun-drenched tribute to the anticipation and adventures of the warmest season of the year.  When the days stretch out like a slow yawn, and the cheerful faces of Johnny-jump-ups jump up . . . then it's time to get ready for summer! From flip-flops and hide-and-seek to fireworks and ice-cream trucks, from lemonade stands and late bedtimes to swimming in the lake and toasting marshmallows, there's something for everyone in this bright and buoyant celebration of the sunny season. Tom Brenner's lovely, lyrical ode to summers spent outdoors will strike a chord with anyone who's ever counted down the days until school gets out, and Jaime Kim's jubilant, nostalgia-soaked illustrations leave little doubt that summer is indeed a time unlike any other.",,,,,,,,32,,,,,English,,,,9780763660710,0,0,,Unread,,,,,,,,,,2017/12/29 17:06:56.190593004,,,,,,KV9nvgAACAAJ,,0,
BE QUIET!,,,,Ryan T. Higgins,"Higgins, Ryan T.",,,,Disney-Hyperion,2017/04/04,2017,Juvenile Fiction,,,"All Rupert the mouse wants is to star in a beautiful, wordless picturebook. One that's visually stimulating! With scenic pictures! And style! He has plenty of ideas about what makes a great book, but his friends just WON'T. STOP. TALKING. Children and adults alike will chuckle at this comedic take on bookmaking from acclaimed author-illustrator Ryan T. Higgins. Praise for Mother Bruce E. B. White Read-Aloud Award Ezra Jack Keats New Illustrator Honor * ""[W]ry text and marvelously detailed pictures juxtapose uproariously. . .Visually beautiful, clever, edgy, and very funny."" -Kirkus, starred review* ""Ryan T. Higgins's illustrations are extraordinary. . . . [A] hilarious, artful picture book with a nod to foodies great and small."" -Shelf Awareness, starred review",,,,,,,,40,,,,,English,,,,9781484731628,0,0,,Unread,,,,,,,,,,2017/12/29 17:08:00.561954975,,,,,,W2hgvgAACAAJ,,0,
"Bus Ride, The",,,,Marianne Dubuc,"Dubuc, Marianne",,,,Kids Can Press Ltd,2015/03/01,2015,Juvenile Fiction,,,"This is the first time I�m taking the bus by myself. Mom packed me a snack † and had me bring my sweater in case I get cold.” But Mom likely didn�t imagine the adventure her little girl would have as she rides to her grandmother�s house in this sweet picture book. While the bus is taking her down the streets, through a forest and into a pitch-black tunnel, the little girl encounters an assortment of animal characters who enliven her journey, including a goat who offers her a flower from a bouquet, a wolf child with whom she happily shares her cookies and a fox who attempts to pickpocket a bear. Adding to the fun are lots of running visual gags, such as the changing headlines on the newspaper that hides one passenger�s face, a sleeping sloth who mysteriously appears in different seats without ever having woken up and a nervous-looking turtle whose head and arms pop in and out of its shell.",,,,,,,,40,,,,,English,,,,9781771382090,0,0,,Unread,,,,,,,,,,2017/12/29 17:06:56.206502974,,,,,,kn8hBQAAQBAJ,,0,
Christmas in the Country,,,,Cynthia Rylant,"Rylant, Cynthia",,,,Blue Sky Press,,2002,Juvenile Fiction,,,"On the 20th anniversary of their first collaboration, Newbery Medalist Cynthia Rylant and Caldecott Honor artist Diane Goode reunite for a story about the joy and warmth of Christmastime.  Cynthia Rylant returns to her Appalachian roots in this story of a young girl who lives with her grandparents in the country. As in her very first book, WHEN I WAS YOUNG IN THE MOUNTAINS (for which illustrator Diane Goode received a Caldecott Honor), Rylant evokes the warmth of the joyful Christmas season and celebrates the greatest gift of all--the love of family. Diane Goode's cheerful watercolors capture the festivities of the season, from Christmas trees loaded with homemade ornaments to the snow-covered countryside. A warm, evocative portrait of a loving family and a favorite season.",,,,,,,,32,,,,,English,,,,9780439073349,0,0,,Unread,,,,,,,,,,2017/12/29 17:06:56.212952017,,,,,,wokunwEACAAJ,,0,
Estelle and Lucy,,,,Anna Alter,"Alter, Anna",,,,HarperCollins,2001/03/20,2001,Juvenile Fiction,,,"Sometimes it's hard to be big. Sometimes it's hard to be little. Lucy wants to be like Estelle. Estelle wishes Lucy wouldn't copy everything she does. But their mother knows something for which they are both exactly the right size. Hooray for sisters of every age, Anna Alter's stunning debut as an author-artist -- and raspberry biscuits!",,,,,,,,24,,,,,English,,,,9780688178826,0,0,,Unread,,,,,,,,,,2017/12/29 17:06:56.177218019,,,,,,vmRYAAAAYAAJ,,0,
Little Blue Truck's Christmas,,,,Alice Schertle,"Schertle, Alice",,,,Houghton Mifflin Harcourt,,2014,Juvenile Fiction,,,"It's the most wonderful time of the year! Little Blue Truck is spreading cheer by delivering Christmas trees to his animal friends. Can you help count each green tree from one to five and back again? Don't forget to save one for Blue! Beep! Beep! With the gentle rhythm and signature illustration style that made Little Blue Truck a household name, Blue's new adventure is full of holiday warmth. Sturdy cardstock pages, a compact and child-friendly text, and flashing colored Christmas lights on the final page come together in a novelty gift book that's sure to be the favorite treat of the season.",,,,,,,,24,,,,,English,,,,9780544320413,0,0,,Unread,,,,,,,,,,2017/12/29 17:12:05.36680996,,,,,,3gdIBAAAQBAJ,,0,
Little New York,,,,Helen L. Wilbur,"Wilbur, Helen L.",,,,Sleeping Bear Press,,2010,Juvenile Nonfiction,,,"A Board book for each state. State birds, flowers, trees, and animals brought to board book form for the youngest book lovers. Toddlers will delight in these books filled with rhyming riddles, framed by brightly painted clues that introduced elements that make each state so special.",,,,,,,,22,,,,,English,,,,9781585364916,0,0,,Unread,,,,,,,,,,2017/12/29 17:06:56.226997971,,,,,,dzAIQgAACAAJ,,0,
Mama Cat Has Three Kittens,,,,Denise Fleming,"Fleming, Denise",,,,Macmillan,1998/09/15,1998,Juvenile Fiction,,,"Some kittens march to the beat of a different drummer.Mama Cat has three kittens, Fluffy, Skinny, and Boris. Where Mama Cat leads, Fluffy and Skinny follow. But what about Boris-- will he ever stop napping and join the fun?Young children will love Mama Cat and her three kittens. They'll also enjoy looking for three other creatures hidden in every scene. But they'll have to count carefully -- Mama Mouse has a surprise.Using her own cats as models, Denise Fleming has captured the moods, expressions, and antics of a mother cat and her kittens. But there is a rebel in every crowd, and Boris is sure to charm readers who will recognize themselves in his contrary ways.",,,,,,,,32,,,,,English,,,,9780805057454,0,0,,Unread,,,,,,,,,,2017/12/29 16:52:03.378109991,,,,,,oz3YI1xFvs8C,,0,
Paw Patrol Flashlight,,,,Phoenix Intl,"Intl, Phoenix",,,,Phoenix International,2016/09/20,2016,,,,,,,,,,,,,,,,,English,,,,9781503707450,0,0,,Unread,,,,,,,,,,2017/12/29 17:09:07.82323014,,,,,,Na_3jwEACAAJ,,0,http://images.amazon.com/images/P/1503707458.01Z.jpg
Snowmen at Christmas,,,,Caralyn Buehner,"Buehner, Caralyn",,,,Penguin,,2002,In library,,,"Snowmen at Christmas: On Christmas Eve, snowmen hold a party in the center of town and celebrate with food, music and dancing, and presents.",,,,,,,,34,,,,,English,,,,9780803725508,0,0,,Unread,,,,,,,,,,2017/12/29 17:06:56.219337999,,,,,,Mnx0DQAAQBAJ,,0,
