"TeamA","TeamB","PointsA","PointsB","week","league"
"Brady for President","Yo_soy_Fiesta!",101.24,116.1,"1","yahoo"
"Lights Kamara Action","Last Manning Standin",139.36,116.46,"1","yahoo"
"Mauled Mentos","Baller's Ballers",141.84,108.06,"1","yahoo"
"Bama","Stampeders",124.34,124.28,"1","yahoo"
"General Puddin Pants","The Big Gronkowski",100.22,89.24,"1","yahoo"
"Brady for President","Lights Kamara Action",155.8,91.74,"2","yahoo"
"Yo_soy_Fiesta!","The Big Gronkowski",170.28,91.54,"2","yahoo"
"Mauled Mentos","Last Manning Standin",79.88,98,"2","yahoo"
"Bama","Baller's Ballers",123.68,112.74,"2","yahoo"
"General Puddin Pants","Stampeders",122.54,102.26,"2","yahoo"
"Brady for President","Mauled Mentos",137.06,108.2,"3","yahoo"
"Yo_soy_Fiesta!","Lights Kamara Action",111.22,111.14,"3","yahoo"
"Bama","Last Manning Standin",105.18,98.54,"3","yahoo"
"General Puddin Pants","Baller's Ballers",123.88,107.56,"3","yahoo"
"Stampeders","The Big Gronkowski",87.42,81.34,"3","yahoo"
"Brady for President","Bama",133.96,127.38,"4","yahoo"
"Yo_soy_Fiesta!","Mauled Mentos",127.16,124.52,"4","yahoo"
"Lights Kamara Action","The Big Gronkowski",87.38,127.52,"4","yahoo"
"General Puddin Pants","Last Manning Standin",121.18,94.7,"4","yahoo"
"Stampeders","Baller's Ballers",127.06,135,"4","yahoo"
"Brady for President","General Puddin Pants",142.72,91.32,"5","yahoo"
"Yo_soy_Fiesta!","Bama",143.1,117.3,"5","yahoo"
"Lights Kamara Action","Mauled Mentos",129.52,102.98,"5","yahoo"
"Stampeders","Last Manning Standin",86.6,96.62,"5","yahoo"
"Baller's Ballers","The Big Gronkowski",114.46,81.58,"5","yahoo"
"Brady for President","Stampeders",124.38,97.3,"6","yahoo"
"Yo_soy_Fiesta!","General Puddin Pants",117.16,125.78,"6","yahoo"
"Lights Kamara Action","Bama",135.68,154.44,"6","yahoo"
"Mauled Mentos","The Big Gronkowski",96,119.1,"6","yahoo"
"Baller's Ballers","Last Manning Standin",107.28,73.42,"6","yahoo"
"Brady for President","Baller's Ballers",112.12,127.44,"7","yahoo"
"Yo_soy_Fiesta!","Stampeders",142.3,80.86,"7","yahoo"
"Lights Kamara Action","General Puddin Pants",116.38,162.7,"7","yahoo"
"Mauled Mentos","Bama",142.26,73.54,"7","yahoo"
"Last Manning Standin","The Big Gronkowski",120.84,128.04,"7","yahoo"
"Brady for President","Last Manning Standin",145.02,89.76,"8","yahoo"
"Yo_soy_Fiesta!","Baller's Ballers",92.08,125.1,"8","yahoo"
"Lights Kamara Action","Stampeders",89.3,107.96,"8","yahoo"
"Mauled Mentos","General Puddin Pants",96.12,107.32,"8","yahoo"
"Bama","The Big Gronkowski",156.56,129.94,"8","yahoo"
"Brady for President","The Big Gronkowski",182.18,106.46,"9","yahoo"
"Yo_soy_Fiesta!","Last Manning Standin",108.4,47.46,"9","yahoo"
"Lights Kamara Action","Baller's Ballers",102.04,162.74,"9","yahoo"
"Mauled Mentos","Stampeders",102.78,120.36,"9","yahoo"
"Bama","General Puddin Pants",87.16,119.2,"9","yahoo"
"Brady for President","Yo_soy_Fiesta!",127.5,129.22,"10","yahoo"
"Lights Kamara Action","Last Manning Standin",152.2,93.2,"10","yahoo"
"Mauled Mentos","Baller's Ballers",182.12,85.22,"10","yahoo"
"Bama","Stampeders",96.54,114.8,"10","yahoo"
"General Puddin Pants","The Big Gronkowski",113.34,123.26,"10","yahoo"
"Brady for President","Lights Kamara Action",143.82,145.42,"11","yahoo"
"Yo_soy_Fiesta!","The Big Gronkowski",97.24,125.48,"11","yahoo"
"Mauled Mentos","Last Manning Standin",147.18,88.4,"11","yahoo"
"Bama","Baller's Ballers",130.48,107.82,"11","yahoo"
"General Puddin Pants","Stampeders",86.3,105.44,"11","yahoo"
"Brady for President","Mauled Mentos",156.1,119.34,"12","yahoo"
"Yo_soy_Fiesta!","Lights Kamara Action",149.28,80.84,"12","yahoo"
"Bama","Last Manning Standin",137.72,98.28,"12","yahoo"
"General Puddin Pants","Baller's Ballers",61.96,108.46,"12","yahoo"
"Stampeders","The Big Gronkowski",112.88,111.82,"12","yahoo"
"Brady for President","Bama",161.8,100.72,"13","yahoo"
"Yo_soy_Fiesta!","Mauled Mentos",96.94,129.9,"13","yahoo"
"Lights Kamara Action","The Big Gronkowski",99.88,71.8,"13","yahoo"
"General Puddin Pants","Last Manning Standin",118.4,103.14,"13","yahoo"
"Stampeders","Baller's Ballers",91.24,69.78,"13","yahoo"
"Brady for President","Lights Kamara Action",120.28,86.64,"14","yahoo"
"Yo_soy_Fiesta!","Mauled Mentos",114.08,126.5,"14","yahoo"
"Bama","Baller's Ballers",103.02,106.8,"14","yahoo"
"General Puddin Pants","Stampeders",75.68,114.92,"14","yahoo"
"Brady for President","Mauled Mentos",116.82,89.44,"15","yahoo"
"Yo_soy_Fiesta!","Lights Kamara Action",76.5,91.16,"15","yahoo"
"Bama","General Puddin Pants",92.08,101.08,"15","yahoo"
"Stampeders","Baller's Ballers",87.26,135.82,"15","yahoo"
"Brady for President","Baller's Ballers",146.22,117.46,"16","yahoo"
"Yo_soy_Fiesta!","Bama",128,98.48,"16","yahoo"
"Lights Kamara Action","General Puddin Pants",116.94,63.14,"16","yahoo"
"Mauled Mentos","Stampeders",123.08,98.86,"16","yahoo"
