Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Ballet School,,,,"Brett McLaughlin, Gary Pollice, David West","McLaughlin, Brett",,,,DK Publishing,,2003,,,,,,,,,,,,,,,,,,,,,9.78079E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,,,0,https://img1.doubanio.com/view/subject/l/public/s24419759.jpg,
Good Night Yoga,A Pose-by-pose Bedtime Story,,,Mariam Gates,"Gates, Mariam",,,,Sounds True,,2015,Juvenile Fiction,,,"Kids love yoga--and it's great for them, so much so that the President's Council has added the practice to the fitness activities in the annual President's Challenge. For parents and caregivers looking for a fun and effective new routine for bedtime, innovative educator Mariam Gates presents Good Night Yoga, a playful yet wholly practical book for preparing for sleep.  This beautifully illustrated, full-color book tells the story of the natural world as it closes down for the night, while teaching children a simple flow of yoga postures inspired by their favorite characters from nature. Moving from ""Sun Breath"" to ""Cloud Gathering"" to ""Ladybug & Butterfly"" and more, readers learn techniques for self-soothing, relaxing the body and mind, focusing attention, and other skills that will support restful sleep and improve overall confidence and well-being.",,,,,,,,36,,,,,English,,,,9.78162E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,ARSUoAEACAAJ,,0,,
Happy Like Soccer,,,,"Maribeth Boelts, Lauren Castillo","Boelts, Maribeth",,,,Candlewick Press,,2012,Juvenile Fiction,,,"A warmhearted story about a young girl who finds a way to bring together the two things that make her most happy- soccer and her family.  Nothing makes Sierra happy like soccer. Her shoes have flames as she spins the ball down the spread-out sea of grass. But nothing makes her sad like soccer, too, because the restaurant where her auntie works is busy on game days and she can’t take time off to watch Sierra play. On game days, her auntie helps Sierra get ready and tells her, ""Play hard and have fun."" And Sierra does, but she can’t help wishing she had someone there to root for her by name, and not just by the number on her uniform. With honesty and rare subtlety, author Maribeth Boelts and illustrator Lauren Castillo portray an endearing character in a moving, uplifting story that touches on the divides children navigate every day- and remind us that everyone needs someone to cheer them on from the sidelines.",,,,,,,,32,,,,,English,,,,9.78076E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,YK-8mE0z1u8C,,0,,
How Animals Sleep,,,,Emily C. Dawson,"Dawson, Emily C.",,,,Amicus,7/1/2010,2010,Juvenile Nonfiction,,,"""Compares the different ways various animals sleep, including lying down, standing up, hanging, and more. Includes comprehension activity""--",,,,,,,,24,,,,,English,,,,9.78161E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,jxv9RAAACAAJ,,0,,
If You Give a Mouse a Brownie,,,,Laura Numeroff,"Numeroff, Laura",,,,HarperCollins,10/18/2016,2016,Juvenile Fiction,,,"Mouse is back in this ninth picture book in the beloved #1 New York Times bestselling If You Give... series! If you give a mouse a brownie, he's going to ask for some ice cream to go with it. When you give him the ice cream, he'll probably ask you for a spoon. He'll start drumming on the table. Drumming will get him so excited he'll want to start a band. . . .Mouse makes his long-anticipated return to the spotlight in this winning picture book from the acclaimed team of Laura Numeroff and Felicia Bond. Fans of If You Give a Mouse a Cookie won't want to miss this!",,,,,,,,32,,,,,English,,,,9.78006E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,iKj5HAAACAAJ,,0,,
If You Were Born a Kitten,,,,Marion Dane Bauer,"Bauer, Marion Dane",,,,Simon & Schuster Books for Young Readers,10/1/1997,1997,Juvenile Fiction,,,"Twelve kinds of animal babies swim, snuggle, slither, and scoot through this enchanting picture book that celebrates the miracle of birth, the magic of childhood, and you...the most precious baby of all.",,,,,,,,32,,,,,English,,,,9.78069E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,VIp1QgAACAAJ,,0,,
Little Tug,,,,Stephen Savage,"Savage, Stephen",,,,Macmillan,10/2/2012,2012,Juvenile Fiction,,,"Little Tug may not be very tall or very fast, but when the big ships in the harbor need help, they know they can count on him to be there with a push, a pull, and a ride to safety. But what happens when Little Tug gets tired? This simple, endearing book with a charming retro feel and an emotional punch is the first book for Roaring Brook Press by the acclaimed author of Polar Bear Night (New York Times Best Illustrated book) and Where's Walrus?",,,,,,,,32,,,,,English,,,,9.7816E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,SDKLk6vWs1EC,,0,,
Many,The Diversity of Life on Earth,,,Nicola Davies,"Davies, Nicola",,,,Candlewick Press,11/7/2017,2017,Juvenile Nonfiction,,,"After magnifying the beauty of unseen organisms in Tiny Creatures, Nicola Davies and Emily Sutton turn their talents to the vast variety of life on Earth.  The more we study the world around us, the more living things we discover every day. The planet is full of millions of species of plants, birds, animals, and microbes, and every single one -- including us -- is part of a big, beautiful, complicated pattern. When humans interfere with parts of the pattern, by polluting the air and oceans, taking too much from the sea, and cutting down too many forests, animals and plants begin to disappear. What sort of world would it be if it went from having many types of living things to having just one? In a beautiful follow-up, the creators of the award-winning Tiny Creatures: The World of Microbes deliver an inspiring look at the extraordinary diversity of Earth's inhabitants -- and the importance of their preservation.",,,,,,,,40,,,,,English,,,,9.78076E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,piQtDwAAQBAJ,,0,,
Soccer Beat,,,,Sandra Gilbert Brug,"Brug, Sandra Gilbert",,,,Simon and Schuster,,2003,Juvenile Fiction,,,"The Rockets and Cheetahs, two spunky multi-animal teams, square off in this high energy, fast-paced game of soccer. Who will win this soccer meet? Full color.",,,,,,,,32,,,,,English,,,,9.78069E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,CNgq_GmiubkC,,0,,
Spring is here!,,,,Will Hillenbrand,"Hillenbrand, Will",,,,Holiday House,,2011,Bears,,,,,,,,,,,,,,,,,,,,9.78082E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,,,0,http://images.amazon.com/images/P/082341602X.01Z.jpg,
