"TeamA","TeamB","PointsA","PointsB","week","league"
"Raw_and Savage","Team_Shank a Potamus",112.24,130.66,"1","espn"
"Team_Shank a Potamus","Gosset's_T-Down",119.3,142.74,"2","espn"
"Team_Shank a Potamus","Viking Joe_Lindquist",104.24,73.68,"3","espn"
"2-2-2_Mega-H-Ertz","Team_Shank a Potamus",147.18,130.88,"4","espn"
"Team_Shank a Potamus","Epsilon_Ballers",77.94,128.98,"5","espn"
"'R'm Chair_Quarterback","Team_Shank a Potamus",124.06,91.52,"6","espn"
"Team_Shank a Potamus","Team_Guns N' Rosas",81.84,101.2,"7","espn"
"Green_Baye's Theorem","Team_Shank a Potamus",140.96,117.46,"8","espn"
"Team_Shank a Potamus","Raw_and Savage",97.56,67.56,"9","espn"
"Gosset's_T-Down","Team_Shank a Potamus",131.66,99.82,"10","espn"
"Viking Joe_Lindquist","Team_Shank a Potamus",109.4,121.28,"11","espn"
"Team_Shank a Potamus","2-2-2_Mega-H-Ertz",110.58,95.34,"12","espn"
"Team_Shank a Potamus","Las Vegas_Radians",94.04,104.92,"13","espn"
"Team_Shank a Potamus","Las Vegas_Radians",93.92,90.26,"14","espn"
"Team_Shank a Potamus","Green_Baye's Theorem",115.6,123.32,"15","espn"
"Team_Shank a Potamus","'R'm Chair_Quarterback",115.22,99.74,"16","espn"
"Viking Joe_Lindquist","'R'm Chair_Quarterback",116.68,119.04,"1","espn"
"'R'm Chair_Quarterback","Green_Baye's Theorem",108.3,90.84,"2","espn"
"Epsilon_Ballers","'R'm Chair_Quarterback",103.9,110.44,"3","espn"
"Team_Guns N' Rosas","'R'm Chair_Quarterback",110.84,82.54,"4","espn"
"'R'm Chair_Quarterback","Las Vegas_Radians",101.7,116.84,"5","espn"
"Gosset's_T-Down","'R'm Chair_Quarterback",135.52,124.54,"7","espn"
"'R'm Chair_Quarterback","2-2-2_Mega-H-Ertz",106.9,96.6,"8","espn"
"Las Vegas_Radians","'R'm Chair_Quarterback",147.66,117.34,"9","espn"
"Raw_and Savage","'R'm Chair_Quarterback",83.96,113.62,"10","espn"
"Green_Baye's Theorem","'R'm Chair_Quarterback",98.92,165.22,"11","espn"
"'R'm Chair_Quarterback","Epsilon_Ballers",107.32,126.78,"12","espn"
"'R'm Chair_Quarterback","Team_Guns N' Rosas",74.48,94,"13","espn"
"'R'm Chair_Quarterback","Gosset's_T-Down",147.2,136.38,"14","espn"
"'R'm Chair_Quarterback","Epsilon_Ballers",64.26,103.5,"15","espn"
"Raw_and Savage","Team_Guns N' Rosas",94.44,118.9,"2","espn"
"Gosset's_T-Down","Raw_and Savage",107.56,94,"3","espn"
"Raw_and Savage","Viking Joe_Lindquist",81.42,87.88,"4","espn"
"Raw_and Savage","2-2-2_Mega-H-Ertz",72.98,146.52,"5","espn"
"Green_Baye's Theorem","Raw_and Savage",111.38,117.2,"6","espn"
"Raw_and Savage","Las Vegas_Radians",119.06,149.78,"7","espn"
"Epsilon_Ballers","Raw_and Savage",111.68,99.64,"8","espn"
"Raw_and Savage","Gosset's_T-Down",109.48,159.42,"11","espn"
"Viking Joe_Lindquist","Raw_and Savage",106.62,114.68,"12","espn"
"2-2-2_Mega-H-Ertz","Raw_and Savage",101.68,135.26,"13","espn"
"Viking Joe_Lindquist","Raw_and Savage",98.5,105.04,"14","espn"
"Viking Joe_Lindquist","Raw_and Savage",65.8,105.58,"15","espn"
"Viking Joe_Lindquist","Raw_and Savage",83.54,124.28,"16","espn"
"Green_Baye's Theorem","Las Vegas_Radians",119.86,112.28,"1","espn"
"Epsilon_Ballers","Las Vegas_Radians",120.18,116.26,"2","espn"
"Las Vegas_Radians","Team_Guns N' Rosas",77.92,122.9,"3","espn"
"Gosset's_T-Down","Las Vegas_Radians",112.06,152.66,"4","espn"
"Las Vegas_Radians","2-2-2_Mega-H-Ertz",131.4,107.48,"6","espn"
"Las Vegas_Radians","Viking Joe_Lindquist",135.86,92.94,"8","espn"
"Las Vegas_Radians","Green_Baye's Theorem",86.3,129.86,"10","espn"
"Las Vegas_Radians","Epsilon_Ballers",112.78,111.96,"11","espn"
"Team_Guns N' Rosas","Las Vegas_Radians",100.74,106.42,"12","espn"
"Gosset's_T-Down","Las Vegas_Radians",95.22,83.48,"15","espn"
"2-2-2_Mega-H-Ertz","Las Vegas_Radians",176.94,79.78,"16","espn"
"2-2-2_Mega-H-Ertz","Green_Baye's Theorem",141.84,84.3,"3","espn"
"Green_Baye's Theorem","Epsilon_Ballers",110.5,103.56,"4","espn"
"Team_Guns N' Rosas","Green_Baye's Theorem",115.08,119.8,"5","espn"
"Viking Joe_Lindquist","Green_Baye's Theorem",118.7,91.94,"7","espn"
"Green_Baye's Theorem","Team_Guns N' Rosas",133,120.08,"9","espn"
"Gosset's_T-Down","Green_Baye's Theorem",145.26,147.88,"12","espn"
"Epsilon_Ballers","Green_Baye's Theorem",97.9,90.36,"13","espn"
"Green_Baye's Theorem","2-2-2_Mega-H-Ertz",105.1,75.64,"14","espn"
"Green_Baye's Theorem","Epsilon_Ballers",136.06,146.9,"16","espn"
"Team_Guns N' Rosas","Epsilon_Ballers",112.64,99.7,"1","espn"
"Epsilon_Ballers","Gosset's_T-Down",128.86,154.48,"6","espn"
"2-2-2_Mega-H-Ertz","Epsilon_Ballers",82.58,87.22,"7","espn"
"Viking Joe_Lindquist","Epsilon_Ballers",68.8,86.8,"9","espn"
"Epsilon_Ballers","Team_Guns N' Rosas",163.32,112.22,"10","espn"
"Team_Guns N' Rosas","Epsilon_Ballers",79,132.78,"14","espn"
"Team_Guns N' Rosas","Viking Joe_Lindquist",133.3,96.2,"6","espn"
"Team_Guns N' Rosas","Gosset's_T-Down",125.4,130.02,"8","espn"
"2-2-2_Mega-H-Ertz","Team_Guns N' Rosas",138.92,86.58,"11","espn"
"Team_Guns N' Rosas","2-2-2_Mega-H-Ertz",108.34,65.92,"15","espn"
"Team_Guns N' Rosas","Gosset's_T-Down",115.96,122.82,"16","espn"
"2-2-2_Mega-H-Ertz","Gosset's_T-Down",126.26,106.84,"1","espn"
"Viking Joe_Lindquist","2-2-2_Mega-H-Ertz",114.04,115.32,"2","espn"
"Gosset's_T-Down","2-2-2_Mega-H-Ertz",98.5,140.42,"9","espn"
"2-2-2_Mega-H-Ertz","Viking Joe_Lindquist",150.9,148.4,"10","espn"
"Viking Joe_Lindquist","Gosset's_T-Down",93.9,128.12,"5","espn"
"Gosset's_T-Down","Viking Joe_Lindquist",152.7,138.4,"13","espn"
