player_name,game_time,home_team,away_team,prediction,line,bet_type,edge,odds,sportsbook,confidence,est_win_prob,kelly_pct,suggested_stake
Shaedon Sharpe,2026-01-14T04:10:00Z,Golden State Warriors,Portland Trail Blazers,18.567694650974044,26.5,Under,7.932305349025956,-130,Bovada,High,0.8966152674512978,0.19055377878449625,190.55
Shaedon Sharpe,2026-01-14T04:10:00Z,Golden State Warriors,Portland Trail Blazers,18.567694650974044,25.5,Under,6.932305349025956,-110,Bovada,High,0.8466152674512979,0.16947301541193138,169.47
Aaron Gordon,2026-01-14T01:10:00Z,New Orleans Pelicans,Denver Nuggets,15.74090756804757,22.5,Under,6.75909243195243,-150,Bovada,High,0.8379546215976215,0.1487216384985134,148.72
Shaedon Sharpe,2026-01-14T04:10:00Z,Golden State Warriors,Portland Trail Blazers,18.567694650974044,24.5,Under,5.932305349025956,110,Bovada,High,0.7966152674512978,0.1529300140108467,152.93
Aaron Gordon,2026-01-14T01:10:00Z,New Orleans Pelicans,Denver Nuggets,15.74090756804757,21.5,Under,5.75909243195243,-125,Bovada,High,0.7879546215976215,0.1307244746486621,130.72
Naz Reid,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,14.881123523047567,20.5,Under,5.618876476952433,-145,ESPN Bet,High,0.7809438238476216,0.11582809210666827,115.83
Jalen Johnson,2026-01-14T03:40:00Z,Los Angeles Lakers,Atlanta Hawks,19.44867392797036,24.5,Under,5.051326072029639,-150,Bovada,High,0.752566303601482,0.09535393975092626,95.35
Nickeil Alexander-Walker,2026-01-14T03:40:00Z,Los Angeles Lakers,Atlanta Hawks,16.567388914979638,21.5,Under,4.932611085020362,-125,Hard Rock,High,0.7466305542510181,0.10747968676619767,107.48
Shaedon Sharpe,2026-01-14T04:10:00Z,Golden State Warriors,Portland Trail Blazers,18.567694650974044,23.5,Under,4.932305349025956,135,Bovada,High,0.7466152674512978,0.13973071824269442,139.73
Aaron Gordon,2026-01-14T01:10:00Z,New Orleans Pelicans,Denver Nuggets,15.74090756804757,20.5,Under,4.75909243195243,100,BetOnline,High,0.7379546215976215,0.11897731079881074,118.98
Donte DiVincenzo,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,12.817823028600406,17.5,Under,4.682176971399594,-150,ESPN Bet,High,0.7341088485699797,0.0838180303562373,83.82
Naz Reid,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,14.881123523047567,19.5,Under,4.618876476952433,-119,DraftKings,High,0.7309438238476217,0.10269174355657289,102.69
Julius Randle,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,20.92271775579695,25.5,Under,4.577282244203051,-145,Bovada,High,0.7288641122101526,0.08392926872871845,83.93
Jalen Johnson,2026-01-14T03:40:00Z,Los Angeles Lakers,Atlanta Hawks,19.44867392797036,23.5,Under,4.051326072029639,-113,DraftKings,High,0.702566303601482,0.09161655666778917,91.62
Nickeil Alexander-Walker,2026-01-14T03:40:00Z,Los Angeles Lakers,Atlanta Hawks,16.567388914979638,20.5,Under,3.932611085020362,-110,DraftKings,High,0.696630554251018,0.09073104098178449,90.73
Shaedon Sharpe,2026-01-14T04:10:00Z,Golden State Warriors,Portland Trail Blazers,18.567694650974044,22.5,Under,3.932305349025956,170,Bovada,High,0.6966152674512978,0.12953841501742708,129.54
Stephen Curry,2026-01-14T04:10:00Z,Golden State Warriors,Portland Trail Blazers,26.677395367590606,30.5,Under,3.8226046324093943,-150,BetRivers,High,0.6911302316204697,0.05695639476279355,56.96
Giannis Antetokounmpo,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,27.684224801499596,31.5,Under,3.815775198500404,-135,Bovada,High,0.6907887599250202,0.06833839645594937,68.34
Caleb Love,2026-01-14T04:10:00Z,Golden State Warriors,Portland Trail Blazers,13.717916329263819,17.5,Under,3.7820836707361813,-135,Bovada,High,0.689104183536809,0.0673487078278753,67.35
Aaron Gordon,2026-01-14T01:10:00Z,New Orleans Pelicans,Denver Nuggets,15.74090756804757,19.5,Under,3.75909243195243,125,Bovada,High,0.6879546215976216,0.1095795797189297,109.58
Donte DiVincenzo,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,12.817823028600406,16.5,Under,3.6821769713995938,-112,DraftKings,High,0.6841088485699797,0.0825776897420892,82.58
Naz Reid,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,14.881123523047567,18.5,Under,3.6188764769524333,100,ESPN Bet,High,0.6809438238476216,0.09047191192381082,90.47
Jaden McDaniels,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,13.906930583526211,17.5,Under,3.5930694164737886,-140,ESPN Bet,High,0.6796534708236894,0.057792082494213685,57.79
Julius Randle,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,20.92271775579695,24.5,Under,3.577282244203051,-120,Bovada,High,0.6788641122101525,0.07337526171558391,73.38
Jalen Pickett,2026-01-14T01:10:00Z,New Orleans Pelicans,Denver Nuggets,8.009382734433654,11.5,Under,3.490617265566346,-140,ESPN Bet,Medium,0.6745308632783173,0.05471851796699043,54.72
Peyton Watson,2026-01-14T01:10:00Z,New Orleans Pelicans,Denver Nuggets,17.16753457211729,20.5,Under,3.3324654278827097,-120,Hard Rock,Medium,0.6666232713941355,0.06664279926677452,66.64
Jamal Murray,2026-01-14T01:10:00Z,New Orleans Pelicans,Denver Nuggets,24.41358882796006,27.5,Under,3.0864111720399414,-150,Bovada,Medium,0.6543205586019971,0.033950349126248176,33.95
Jalen Johnson,2026-01-14T03:40:00Z,Los Angeles Lakers,Atlanta Hawks,19.44867392797036,22.5,Under,3.0513260720296387,102,BetRivers,Medium,0.6525663036014819,0.07798625815563566,77.99
Nickeil Alexander-Walker,2026-01-14T03:40:00Z,Los Angeles Lakers,Atlanta Hawks,16.567388914979638,19.5,Under,2.932611085020362,112,BetRivers,Medium,0.6466305542510181,0.08278053013664252,82.78
Matas Buzelis,2026-01-14T01:10:00Z,Houston Rockets,Chicago Bulls,15.602217104734821,18.5,Under,2.8977828952651787,-150,Bovada,Medium,0.644889144763259,0.028055715477036836,28.06
Ayo Dosunmu,2026-01-14T01:10:00Z,Houston Rockets,Chicago Bulls,13.603640555495906,16.5,Under,2.8963594445040943,-145,Bovada,Medium,0.6448179722252048,0.032451007987937916,32.45
Stephen Curry,2026-01-14T04:10:00Z,Golden State Warriors,Portland Trail Blazers,26.677395367590606,29.5,Under,2.8226046324093943,-118,DraftKings,Medium,0.6411302316204697,0.054415976233155965,54.42
Giannis Antetokounmpo,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,27.684224801499596,30.5,Under,2.815775198500404,-105,DraftKings,Medium,0.6407887599250202,0.06590423946157282,65.9
Caleb Love,2026-01-14T04:10:00Z,Golden State Warriors,Portland Trail Blazers,13.717916329263819,16.5,Under,2.7820836707361813,-110,Bovada,Medium,0.6391041835368091,0.06052969635682477,60.53
Aaron Gordon,2026-01-14T01:10:00Z,New Orleans Pelicans,Denver Nuggets,15.74090756804757,18.5,Under,2.75909243195243,155,Bovada,Medium,0.6379546215976215,0.10109423952805399,101.09
Donte DiVincenzo,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,12.817823028600406,15.5,Under,2.6821769713995938,105,BetRivers,Medium,0.6341088485699797,0.07141027132582341,71.41
Naz Reid,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,14.881123523047567,17.5,Under,2.6188764769524333,105,BetRivers,Medium,0.6309438238476217,0.06986543783038676,69.87
Jaden McDaniels,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,13.906930583526211,16.5,Under,2.5930694164737886,-110,ESPN Bet,Medium,0.6296534708236894,0.055568072182436944,55.57
Jake LaRavia,2026-01-14T03:40:00Z,Los Angeles Lakers,Atlanta Hawks,11.917185421954088,14.5,Under,2.5828145780459124,-141,BetRivers,Medium,0.6291407289022957,0.026557289163633167,26.56
Julius Randle,2026-01-14T01:10:00Z,Milwaukee Bucks,Minnesota Timberwolves,20.92271775579695,23.5,Under,2.577282244203051,105,Bovada,Medium,0.6288641122101526,0.06885034048352684,68.85
Jalen Pickett,2026-01-14T01:10:00Z,New Orleans Pelicans,Denver Nuggets,8.009382734433654,10.5,Under,2.490617265566346,-105,ESPN Bet,Low,0.6245308632783173,0.057572067430137625,57.57
Dillon Brooks,2026-01-14T00:40:00Z,Miami Heat,Phoenix Suns,18.09401500987616,20.5,Under,2.405984990123841,-130,ESPN Bet,Low,0.6202992495061921,0.031672068466060445,31.67
Onyeka Okongwu,2026-01-14T03:40:00Z,Los Angeles Lakers,Atlanta Hawks,15.103192468241422,17.5,Under,2.3968075317585775,-143,BetRivers,Low,0.6198403765879289,0.01905302877716678,19.05
Peyton Watson,2026-01-14T01:10:00Z,New Orleans Pelicans,Denver Nuggets,17.16753457211729,19.5,Under,2.3324654278827097,100,Bovada,Low,0.6166232713941355,0.058311635697067765,58.31
Amen Thompson,2026-01-14T01:10:00Z,Houston Rockets,Chicago Bulls,18.259933031578456,20.5,Under,2.2400669684215444,-140,ESPN Bet,Low,0.6120033484210772,0.017202009052646336,17.2
Reed Sheppard,2026-01-14T01:10:00Z,Houston Rockets,Chicago Bulls,11.265466842884715,13.5,Under,2.234533157115285,-145,ESPN Bet,Low,0.6117266578557643,0.012182577936655645,12.18
Grayson Allen,2026-01-14T00:40:00Z,Miami Heat,Phoenix Suns,11.270916246000343,13.5,Under,2.2290837539996566,-136,BetRivers,Low,0.6114541876999828,0.02075797074298988,20.76
Marcus Smart,2026-01-14T03:40:00Z,Los Angeles Lakers,Atlanta Hawks,10.341688965332645,12.5,Under,2.1583110346673546,-125,ESPN Bet,Low,0.6079155517333678,0.029452497850019372,29.45
Jamal Murray,2026-01-14T01:10:00Z,New Orleans Pelicans,Denver Nuggets,24.41358882796006,26.5,Under,2.0864111720399414,-110,Hard Rock,Low,0.6043205586019971,0.04226829326604847,42.27
Shai Gilgeous-Alexander,2026-01-14T01:10:00Z,Oklahoma City Thunder,San Antonio Spurs,29.43714657256724,31.5,Under,2.06285342743276,-115,Hard Rock,Low,0.603142671371638,0.03668918586225542,36.69
